scope,profile,motion,seed,success,minimum_distance_m,oscillatory,maximum_command_reversal_rate_hz,mean_acceleration_jerk_rms_mps3,agent_visible_fraction,all_agents_lost_fraction
multi,legacy,line,2026081801,1,0.28056625246315936,1,4.687499999999999,28.050969242620493,0.9942528735632183,0.0
multi,legacy,line,2026081802,1,0.536185394898424,1,5.346534653465346,29.700101182035652,1.0,0.0
multi,legacy,line,2026081803,1,0.030314129603227706,1,4.962962962962963,26.808850476965862,1.0,0.0
multi,legacy,line,2026081804,1,0.31286745597487836,1,5.148514851485148,28.65242671289182,0.9972451790633609,0.0
multi,legacy,line,2026081805,1,0.052877942093372904,1,5.0,26.595211108475638,1.0,0.0
multi,legacy,line,2026081806,1,0.060661742379628084,1,4.5,26.537116024949643,1.0,0.0
multi,legacy,line,2026081807,1,0.06144239933645478,1,5.185185185185185,24.9251117878314,1.0,0.0
multi,legacy,line,2026081808,1,0.05616909405101027,1,5.174825174825175,29.28679453275186,1.0,0.0
multi,legacy,line,2026081809,1,0.4814856710657948,1,5.238095238095238,28.722346033175636,0.9973333333333333,0.0
multi,legacy,line,2026081810,1,0.418457040834716,1,5.6923076923076925,27.99396503018509,1.0,0.0
multi,legacy,line,2026081811,1,0.08784371841681328,1,5.1724137931034475,28.44682518928704,1.0,0.0
multi,legacy,line,2026081812,1,0.374559172897628,1,5.350877192982456,27.84855975230754,0.9975124378109452,0.0
multi,legacy,line,2026081813,1,0.20005346955530645,1,4.942528735632183,27.59587624997361,1.0,0.0
multi,legacy,line,2026081814,1,0.017769536330164565,1,5.096153846153846,27.987539609918684,1.0,0.0
multi,legacy,line,2026081815,1,0.17868258895846467,1,4.823529411764706,28.338192778580346,1.0,0.0
multi,legacy,line,2026081816,1,0.45210077327387443,1,4.935064935064935,29.569054107552258,0.9965635738831615,0.0
multi,legacy,line,2026081817,1,0.05397493348811552,1,5.106382978723404,28.311765095795476,1.0,0.0
multi,legacy,line,2026081818,1,0.28765978082041027,1,5.357142857142857,27.618081886618878,1.0,0.0
multi,legacy,line,2026081819,1,0.28426755524628217,1,4.8936170212765955,27.767192561952786,1.0,0.0
multi,legacy,line,2026081820,1,0.1872909710157943,1,5.0,28.04909301759717,1.0,0.0
multi,legacy,line,2026081821,1,0.047553488624794124,1,4.897959183673469,27.35855595108981,1.0,0.0
multi,legacy,line,2026081822,1,0.18254297699742872,1,5.1020408163265305,24.99923612822386,1.0,0.0
multi,legacy,line,2026081823,1,0.3210711085226044,1,5.466666666666667,29.59136139090668,1.0,0.0
multi,legacy,line,2026081824,1,0.0898490130822826,1,5.5681818181818175,29.559265997247945,0.9969135802469136,0.0
multi,legacy,line,2026081825,1,0.07148873183417709,1,5.3,28.973835260270818,1.0,0.0
multi,legacy,line,2026081826,1,0.27446462972741237,1,5.135135135135135,24.852798390401603,1.0,0.0
multi,legacy,line,2026081827,1,0.1324574858242812,1,5.769230769230768,26.710761572518006,1.0,0.0
multi,legacy,line,2026081828,1,0.3115560788816351,1,5.624999999999999,30.693203826751528,1.0,0.0
multi,legacy,line,2026081829,1,0.05650949071635373,1,5.7894736842105265,30.78745278029473,1.0,0.0
multi,legacy,line,2026081830,1,0.21220327364144367,1,5.3,27.68297722653408,0.9972222222222222,0.0
multi,legacy,line,2026081831,1,0.13780172767517682,1,4.814814814814815,28.252146112590793,1.0,0.0
multi,legacy,line,2026081832,1,0.22385038872411536,1,4.868421052631579,26.969229153871442,0.9965277777777778,0.0
multi,legacy,line,2026081833,1,0.2971715931925608,1,4.999999999999999,28.340354283666755,1.0,0.0
multi,legacy,line,2026081834,1,0.38485215676552853,1,5.168539325842697,27.14298235095895,1.0,0.0
multi,legacy,line,2026081835,1,0.18324694021500298,1,5.36231884057971,25.418138951471363,0.9962546816479401,0.0
multi,legacy,line,2026081836,1,0.10183350358863633,1,5.189873417721519,26.60981953193016,1.0,0.0
multi,legacy,line,2026081837,1,0.3188597666616405,1,5.588235294117647,26.230485849456628,1.0,0.0
multi,legacy,line,2026081838,1,0.07769275619805019,1,5.591397849462365,20.221547519734766,1.0,0.0
multi,legacy,line,2026081839,1,0.33236668796375773,1,5.652173913043478,28.004899885494893,1.0,0.0
multi,legacy,line,2026081840,1,0.04708569399524674,1,5.174825174825175,28.103465511419387,0.9979550102249489,0.0
multi,legacy,line,2026081841,1,0.03091834819379463,1,5.5102040816326525,24.725757281154895,1.0,0.0
multi,legacy,line,2026081842,1,0.09888393291007953,1,4.8514851485148505,25.564260466150973,1.0,0.0
multi,legacy,line,2026081843,1,0.40837612077859037,1,4.698795180722891,25.8062390193581,1.0,0.0
multi,legacy,line,2026081844,1,0.09509760172757502,1,4.833333333333333,21.058561404940278,1.0,0.0
multi,legacy,line,2026081845,1,0.22809144458537794,1,4.705882352941176,28.12659689514375,1.0,0.0
multi,legacy,line,2026081846,1,0.22009505144860098,1,5.3,28.08539729957394,1.0,0.0
multi,legacy,line,2026081847,1,0.3488863767083296,1,5.833333333333333,29.46750165653369,1.0,0.0
multi,legacy,line,2026081848,1,0.23279728342405548,1,5.533980582524271,29.283577788818263,1.0,0.0
multi,legacy,line,2026081849,1,0.17569524044308452,1,5.052631578947368,29.71653788627655,1.0,0.0
multi,legacy,line,2026081850,1,0.5402870339203899,1,5.408163265306122,28.49166755743427,1.0,0.0
multi,legacy,arc,2026181801,0,1.010760383857065,1,2.016460905349794,17.66182537813366,0.45373891001267425,0.5361216730038023
multi,legacy,arc,2026181802,0,0.6421105121147176,1,1.96,18.180369968498912,0.41358024691358025,0.5814814814814815
multi,legacy,arc,2026181803,0,2.2906502609650254,1,2.462686567164179,14.233923156231603,0.5358796296296297,0.4513888888888889
multi,legacy,arc,2026181804,0,0.8673551927238573,1,2.05607476635514,17.308089193390014,0.46296296296296297,0.5341880341880342
multi,legacy,arc,2026181805,0,1.0993455015302072,1,2.1311475409836063,17.264302622403736,0.4532828282828283,0.5340909090909091
multi,legacy,arc,2026181806,0,0.6229245567549127,1,1.7948717948717947,17.93164964787397,0.41601049868766404,0.5787401574803149
multi,legacy,arc,2026181807,0,0.7022640666556573,1,2.009345794392523,17.453150960353433,0.46296296296296297,0.5341880341880342
multi,legacy,arc,2026181808,1,0.29262527713482656,1,4.5054945054945055,29.657686826506275,0.996996996996997,0.0
multi,legacy,arc,2026181809,0,1.0575901729811754,1,2.0,17.288432721210196,0.4603174603174603,0.5285714285714286
multi,legacy,arc,2026181810,0,3.2421777190316265,1,2.1904761904761907,17.1529210549354,0.5246376811594203,0.45217391304347826
multi,legacy,arc,2026181811,0,0.6400839543995224,1,1.708542713567839,17.19333641183965,0.4627092846270928,0.5342465753424658
multi,legacy,arc,2026181812,0,2.2270491868984488,1,2.2959183673469385,14.431729492160265,0.5324074074074074,0.4444444444444444
multi,legacy,arc,2026181813,0,2.7357230157262906,1,2.3509933774834435,13.965329052495113,0.5331262939958592,0.453416149068323
multi,legacy,arc,2026181814,0,2.1810329015305916,1,2.1774193548387095,19.380266454518686,0.4689054726368159,0.5186567164179104
multi,legacy,arc,2026181815,0,0.799852952382023,1,2.2564102564102564,17.60179750239309,0.4542635658914729,0.5302325581395348
multi,legacy,arc,2026181816,1,0.4581253487456615,1,4.406779661016949,27.592421066460677,1.0,0.0
multi,legacy,arc,2026181817,0,1.0807780395311182,1,2.0233463035019454,18.387523545394558,0.4584837545126354,0.5234657039711191
multi,legacy,arc,2026181818,0,1.110724640439849,1,2.1052631578947367,17.274533618417426,0.44871794871794873,0.5384615384615384
multi,legacy,arc,2026181819,0,2.909323239147234,1,2.483221476510067,16.060542265655375,0.5251572327044025,0.4591194968553459
multi,legacy,arc,2026181820,1,0.5816398147680178,1,4.938271604938272,26.19676802266851,0.9867986798679867,0.0
multi,legacy,arc,2026181821,0,0.8233885350567468,1,2.161172161172161,17.199845699813576,0.45847554038680316,0.5358361774744027
multi,legacy,arc,2026181822,1,0.5619779352229314,1,4.375,25.925957773720015,0.9733333333333334,0.0
multi,legacy,arc,2026181823,0,0.7727686077979893,1,2.2821576763485476,17.394576139435266,0.4444444444444444,0.5402298850574713
multi,legacy,arc,2026181824,0,2.6437100992511127,1,2.463768115942029,16.453057075749353,0.5259009009009009,0.4560810810810811
multi,legacy,arc,2026181825,0,1.1800450604706179,1,2.3849372384937237,16.634740820115322,0.4491634491634492,0.5328185328185329
multi,legacy,arc,2026181826,0,3.8415895970412937,1,2.354948805460751,16.269205634789902,0.5218317358892439,0.45686900958466453
multi,legacy,arc,2026181827,1,0.2525751840868042,1,4.8936170212765955,24.23785452887486,0.9979296066252588,0.0
multi,legacy,arc,2026181828,0,0.6771893623826235,1,1.9806763285024152,17.699096690244257,0.4170337738619677,0.5770925110132159
multi,legacy,arc,2026181829,0,0.7896052659679814,1,2.240437158469945,17.645296713396686,0.4630541871921182,0.5320197044334976
multi,legacy,arc,2026181830,0,0.7347406170205514,1,2.1686746987951806,18.38008471457462,0.4560099132589839,0.5353159851301115
multi,legacy,arc,2026181831,0,0.9763819805995433,1,2.03125,18.44104189148555,0.4492753623188406,0.5362318840579711
multi,legacy,arc,2026181832,1,0.5949676632751408,1,5.441176470588235,26.93355981131936,1.0,0.0
multi,legacy,arc,2026181833,0,2.2857072412497934,1,1.840490797546012,17.21082473311894,0.4990892531876138,0.47540983606557374
multi,legacy,arc,2026181834,1,0.3765115573667731,1,4.5,26.537364880568674,0.9866666666666667,0.0
multi,legacy,arc,2026181835,0,0.6312156287145323,1,1.8636363636363635,17.82610461910309,0.45,0.5416666666666666
multi,legacy,arc,2026181836,1,0.13972619113975424,1,4.421052631578948,27.796195587553125,0.9942028985507246,0.0
multi,legacy,arc,2026181837,1,0.47821163095695635,1,4.776119402985074,25.180299829233167,0.9923371647509579,0.0
